ID,booksName,Copys,borrows,category,price,cover
0000913154,"The Way Things Work: An Illustrated Encyclopedia of Technology",5,0,NULL,NULL,http://images.amazon.com/images/P/0000913154.01.MZZZZZZZ.jpg
0001010565,"Mog's Christmas",5,0,NULL,NULL,http://images.amazon.com/images/P/0001010565.01.MZZZZZZZ.jpg
0001046438,Liar,5,0,NULL,NULL,http://images.amazon.com/images/P/0001046438.01.MZZZZZZZ.jpg
0001046713,"Twopence to Cross the Mersey",5,0,NULL,NULL,http://images.amazon.com/images/P/0001046713.01.MZZZZZZZ.jpg
0001046934,"The Prime of Miss Jean Brodie",5,0,NULL,NULL,http://images.amazon.com/images/P/0001046934.01.MZZZZZZZ.jpg
0001047213,"The Fighting Man",5,0,NULL,NULL,http://images.amazon.com/images/P/0001047213.01.MZZZZZZZ.jpg
0001047647,"First Among Equals",5,0,NULL,NULL,http://images.amazon.com/images/P/0001047647.01.MZZZZZZZ.jpg
0001047663,"Matter Of Honour",5,0,NULL,NULL,http://images.amazon.com/images/P/0001047663.01.MZZZZZZZ.jpg
0001047868,Kidnapped,5,0,NULL,NULL,http://images.amazon.com/images/P/0001047868.01.MZZZZZZZ.jpg
0001047973,"Brave New World",5,0,NULL,NULL,http://images.amazon.com/images/P/0001047973.01.MZZZZZZZ.jpg
0001048082,"Made in America",5,0,NULL,NULL,http://images.amazon.com/images/P/0001048082.01.MZZZZZZZ.jpg
0001048473,"Nothing Can Be Better",5,0,NULL,NULL,http://images.amazon.com/images/P/0001048473.01.MZZZZZZZ.jpg
0001049879,"Daughters of the Storm",5,0,NULL,NULL,http://images.amazon.com/images/P/0001049879.01.MZZZZZZZ.jpg
0001052039,"Dark Spectre",5,0,NULL,NULL,http://images.amazon.com/images/P/0001052039.01.MZZZZZZZ.jpg
0001053736,"Sir Gawain and the Green Knight",5,0,NULL,NULL,http://images.amazon.com/images/P/0001053736.01.MZZZZZZZ.jpg
0001053744,"Pearl and Sir Orfeo",5,0,NULL,NULL,http://images.amazon.com/images/P/0001053744.01.MZZZZZZZ.jpg
0001055607,"Cereus Blooms At Night",5,0,NULL,NULL,http://images.amazon.com/images/P/0001055607.01.MZZZZZZZ.jpg
0001056107,"Farmer Giles of Ham: And Other Stories",5,0,NULL,NULL,http://images.amazon.com/images/P/0001056107.01.MZZZZZZZ.jpg
0001061127,"CHESS FOR YOUNG BEGINNERS",5,0,NULL,NULL,http://images.amazon.com/images/P/0001061127.01.MZZZZZZZ.jpg
0001232088,"Paddington in the Kitchen",5,0,NULL,NULL,http://images.amazon.com/images/P/0001232088.01.MZZZZZZZ.jpg
0001360469,"Babe Dressing",5,0,NULL,NULL,http://images.amazon.com/images/P/0001360469.01.MZZZZZZZ.jpg
0001372564,"Which Colour?",5,0,NULL,NULL,http://images.amazon.com/images/P/0001372564.01.MZZZZZZZ.jpg
0001374362,"When It's Time for Bed (Collins Baby &amp; Toddler S.)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001374362.01.MZZZZZZZ.jpg
0001374869,"Baby Plays (Collins Baby and Toddler Series)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001374869.01.MZZZZZZZ.jpg
0001382381,"Huck Scarry's Steam Train Journey",5,0,NULL,NULL,http://images.amazon.com/images/P/0001382381.01.MZZZZZZZ.jpg
0001382608,"On the Road",5,0,NULL,NULL,http://images.amazon.com/images/P/0001382608.01.MZZZZZZZ.jpg
0001711105,"The Book of Riddles (Beginner Books)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001711105.01.MZZZZZZZ.jpg
0001711253,"The Big Honey Hunt",5,0,NULL,NULL,http://images.amazon.com/images/P/0001711253.01.MZZZZZZZ.jpg
0001714236,"Spooky Riddles",5,0,NULL,NULL,http://images.amazon.com/images/P/0001714236.01.MZZZZZZZ.jpg
0001714600,"I Want to Be Somebody New! (I Can Read It All by Myself)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001714600.01.MZZZZZZZ.jpg
0001718126,"ARE YOU MY MOTHER MINI PB (EXPORT)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001718126.01.MZZZZZZZ.jpg
0001811150,"Day Time (Step by Step)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001811150.01.MZZZZZZZ.jpg
0001811819,"Paddington and the Marmalade Maze (Paddington First Books)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001811819.01.MZZZZZZZ.jpg
0001821326,"Paddington at the Tower (A Paddington Picture Book)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001821326.01.MZZZZZZZ.jpg
0001821504,"The Adventures of Paddington",5,0,NULL,NULL,http://images.amazon.com/images/P/0001821504.01.MZZZZZZZ.jpg
0001837397,"Autumn Story Brambly Hedge",5,0,NULL,NULL,http://images.amazon.com/images/P/0001837397.01.MZZZZZZZ.jpg
0001840517,Bess,5,0,NULL,NULL,http://images.amazon.com/images/P/0001840517.01.MZZZZZZZ.jpg
0001841572,"Red Shift",5,0,NULL,NULL,http://images.amazon.com/images/P/0001841572.01.MZZZZZZZ.jpg
0001842749,"The Growing Summer",5,0,NULL,NULL,http://images.amazon.com/images/P/0001842749.01.MZZZZZZZ.jpg
0001845039,"The Moon of Gomrath",5,0,NULL,NULL,http://images.amazon.com/images/P/0001845039.01.MZZZZZZZ.jpg
0001846086,"There Will Be a Next Time",5,0,NULL,NULL,http://images.amazon.com/images/P/0001846086.01.MZZZZZZZ.jpg
0001848445,"THE COAL HOUSE T/PB",5,0,NULL,NULL,http://images.amazon.com/images/P/0001848445.01.MZZZZZZZ.jpg
0001848461,"SONG OF THE CITY CSD",5,0,NULL,NULL,http://images.amazon.com/images/P/0001848461.01.MZZZZZZZ.jpg
0001850121,"A place called Lantern Light",5,0,NULL,NULL,http://images.amazon.com/images/P/0001850121.01.MZZZZZZZ.jpg
0001856367,"The Collins Book of Ballet and Dance",5,0,NULL,NULL,http://images.amazon.com/images/P/0001856367.01.MZZZZZZZ.jpg
0001857258,"Little Wolf's Book of Badness",5,0,NULL,NULL,http://images.amazon.com/images/P/0001857258.01.MZZZZZZZ.jpg
0001900277,"Glue (First Facts - First Skills)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001900277.01.MZZZZZZZ.jpg
0001935968,"The Brambly Hedge Treasury",5,0,NULL,NULL,http://images.amazon.com/images/P/0001935968.01.MZZZZZZZ.jpg
0001939203,"The Collins Book of Nursery Tales",5,0,NULL,NULL,http://images.amazon.com/images/P/0001939203.01.MZZZZZZZ.jpg
0001941941,"Little Grey Rabbit's Christmas (Collins Colour Cubs)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001941941.01.MZZZZZZZ.jpg
0001941968,"Little Grey Rabbit's Birthday (Little Grey Rabbit Cubs)",5,0,NULL,NULL,http://images.amazon.com/images/P/0001941968.01.MZZZZZZZ.jpg
0001944711,"Count Duckula: Vampire Vacation",5,0,NULL,NULL,http://images.amazon.com/images/P/0001944711.01.MZZZZZZZ.jpg
0001944835,"Hilda Boswell's Blue Treasury",5,0,NULL,NULL,http://images.amazon.com/images/P/0001944835.01.MZZZZZZZ.jpg
0001945203,"The Revenge of Murray the Mantis",5,0,NULL,NULL,http://images.amazon.com/images/P/0001945203.01.MZZZZZZZ.jpg
0001952404,"Friend Monkey",5,0,NULL,NULL,http://images.amazon.com/images/P/0001952404.01.MZZZZZZZ.jpg
0001952803,"God bless love: A collection of children's sayings",5,0,NULL,NULL,http://images.amazon.com/images/P/0001952803.01.MZZZZZZZ.jpg
0001953877,"Collins guide to dinosaurs",5,0,NULL,NULL,http://images.amazon.com/images/P/0001953877.01.MZZZZZZZ.jpg
